index,basin,start_date,end_date,basin_count,finished
0,basin_name,6/30/08,7/14/09,200,1
1,basin_name,7/15/09,7/14/10,200,1
2,basin_name,7/15/10,7/14/11,200,1
3,basin_name,7/15/11,7/14/12,200,1
4,basin_name,7/15/12,7/14/13,200,0
5,basin_name,7/15/13,7/14/14,200,0
6,basin_name,7/15/14,7/14/15,200,0
7,basin_name,7/15/15,7/14/16,200,0
8,basin_name,7/15/16,7/14/17,200,0
9,basin_name,7/15/17,7/14/18,200,0
10,basin_name,7/15/18,7/14/19,200,0
11,basin_name,7/15/19,7/14/20,200,0
12,basin_name,7/15/20,7/14/21,200,0
13,basin_name,7/15/21,7/14/22,200,0
